Top words in document 1
Word: messrs, TF-IDF: 0.03814 
Word: freeman, TF-IDF: 0.03158 
Word: efficaciously, TF-IDF: 0.02884 
Word: impost, TF-IDF: 0.02599 
Word: meditated, TF-IDF: 0.02412 
Word: sabine, TF-IDF: 0.0215 
Word: separation, TF-IDF: 0.02083 
Word: luxuries, TF-IDF: 0.01852 
Word: commencing, TF-IDF: 0.01852 
Word: speck, TF-IDF: 0.0181 
Word: redelivery, TF-IDF: 0.0181 
Word: geographers, TF-IDF: 0.0181 
Word: terminationby, TF-IDF: 0.0181 
Word: preying, TF-IDF: 0.0181 
Word: bayou, TF-IDF: 0.0181 
Word: salt, TF-IDF: 0.01809 
Word: orleans, TF-IDF: 0.01795 
Word: intervening, TF-IDF: 0.0166 
Top words in document 19
Word: harbors, TF-IDF: 0.03544 
Word: chesapeake, TF-IDF: 0.03167 
Word: instructions, TF-IDF: 0.02006 
Word: fermentation, TF-IDF: 0.0198 
Word: intermission, TF-IDF: 0.0198 
Word: arraignment, TF-IDF: 0.0198 
Word: usefully, TF-IDF: 0.01751 
Word: bosoms, TF-IDF: 0.01726 
Word: tours, TF-IDF: 0.01726 
Word: aaron, TF-IDF: 0.01726 
Word: courtesies, TF-IDF: 0.01726 
Word: landsmen, TF-IDF: 0.01726 
Word: engendering, TF-IDF: 0.01726 
Word: inconsistence, TF-IDF: 0.01726 
Word: aggravations, TF-IDF: 0.01726 
Word: unratified, TF-IDF: 0.01726 
Word: dissipating, TF-IDF: 0.01726 
Word: commentaries, TF-IDF: 0.01726 
Word: sincerest, TF-IDF: 0.01726 
Word: identifying, TF-IDF: 0.01726 
Top words in document 20
Word: embargo, TF-IDF: 0.03968 
Word: decrees, TF-IDF: 0.03161 
Word: suspension, TF-IDF: 0.03075 
Word: edicts, TF-IDF: 0.02287 
Word: neutrals, TF-IDF: 0.0221 
Word: detachments, TF-IDF: 0.02122 
Word: belligerent, TF-IDF: 0.01903 
Word: obstructed, TF-IDF: 0.01903 
Word: revoking, TF-IDF: 0.01861 
Word: machineries, TF-IDF: 0.01861 
Word: implicating, TF-IDF: 0.01861 
Word: unremittingly, TF-IDF: 0.01861 
Word: alabamas, TF-IDF: 0.01861 
Word: ioways, TF-IDF: 0.01861 
Word: artificers, TF-IDF: 0.01861 
Word: dailyis, TF-IDF: 0.01861 
Word: irrelative, TF-IDF: 0.01861 
Word: undertakers, TF-IDF: 0.01861 
Word: 23rd, TF-IDF: 0.01861 
Word: overspread, TF-IDF: 0.01623 
Top words in document 21
Word: disavowal, TF-IDF: 0.02997 
Word: disavowed, TF-IDF: 0.02399 
Word: transfers, TF-IDF: 0.02399 
Word: involuntarily, TF-IDF: 0.02249 
Word: flavored, TF-IDF: 0.02249 
Word: unessentially, TF-IDF: 0.02249 
Word: interpositions, TF-IDF: 0.02249 
Word: overclouded, TF-IDF: 0.02249 
Word: substituted, TF-IDF: 0.0219 
Word: explanations, TF-IDF: 0.02129 
Word: engagements, TF-IDF: 0.02004 
Word: unworthy, TF-IDF: 0.0199 
Word: redundancy, TF-IDF: 0.01962 
Word: recollecting, TF-IDF: 0.01962 
Word: presaging, TF-IDF: 0.01962 
Word: rectitude, TF-IDF: 0.01962 
Word: proposals, TF-IDF: 0.01824 
Word: impolitic, TF-IDF: 0.01792 
Word: disavowing, TF-IDF: 0.01792 
Word: understands, TF-IDF: 0.01792 
Top words in document 22
Word: blockades, TF-IDF: 0.04746 
Word: danish, TF-IDF: 0.0356 
Word: seminary, TF-IDF: 0.03367 
Word: decrees, TF-IDF: 0.0328 
Word: milan, TF-IDF: 0.02867 
Word: edicts, TF-IDF: 0.02373 
Word: revocation, TF-IDF: 0.02373 
Word: academy, TF-IDF: 0.02221 
Word: comprehended, TF-IDF: 0.02133 
Word: efficacy, TF-IDF: 0.02018 
Word: judgement, TF-IDF: 0.0193 
Word: redistributed, TF-IDF: 0.0193 
Word: professorships, TF-IDF: 0.0193 
Word: unrescinded, TF-IDF: 0.0193 
Word: wellinstructed, TF-IDF: 0.0193 
Word: bulky, TF-IDF: 0.0193 
Word: remarking, TF-IDF: 0.0193 
Word: statements, TF-IDF: 0.01719 
Word: promptitude, TF-IDF: 0.01708 
Word: assimilating, TF-IDF: 0.01683 
Top words in document 23
Word: rodgers, TF-IDF: 0.02815 
Word: decrees, TF-IDF: 0.02554 
Word: edicts, TF-IDF: 0.02464 
Word: revocation, TF-IDF: 0.02464 
Word: licenses, TF-IDF: 0.0238 
Word: seasonableness, TF-IDF: 0.02004 
Word: transgressors, TF-IDF: 0.02004 
Word: shawanese, TF-IDF: 0.02004 
Word: blends, TF-IDF: 0.02004 
Word: inflexibility, TF-IDF: 0.02004 
Word: scenes, TF-IDF: 0.01837 
Word: councils, TF-IDF: 0.01785 
Word: trampling, TF-IDF: 0.01748 
Word: animadversions, TF-IDF: 0.01748 
Word: nonimportation, TF-IDF: 0.01748 
Word: dispositions, TF-IDF: 0.01625 
Word: frigate, TF-IDF: 0.01625 
Word: rigorous, TF-IDF: 0.01625 
Word: dissatisfied, TF-IDF: 0.01596 
Word: ignominious, TF-IDF: 0.01596 
Top words in document 24
Word: savages, TF-IDF: 0.05237 
Word: enemy, TF-IDF: 0.04114 
Word: armistice, TF-IDF: 0.0338 
Word: regulars, TF-IDF: 0.02804 
Word: detroit, TF-IDF: 0.02804 
Word: brigadiergeneral, TF-IDF: 0.02694 
Word: hull, TF-IDF: 0.02376 
Word: insufficiency, TF-IDF: 0.02253 
Word: faculties, TF-IDF: 0.02079 
Word: ardor, TF-IDF: 0.02079 
Word: militia, TF-IDF: 0.02057 
Word: recompense, TF-IDF: 0.02009 
Word: revoked, TF-IDF: 0.02009 
Word: victorious, TF-IDF: 0.01869 
Word: entangled, TF-IDF: 0.01691 
Word: blasting, TF-IDF: 0.01691 
Word: butcheries, TF-IDF: 0.01691 
Word: rensselaer, TF-IDF: 0.01691 
Word: vassals, TF-IDF: 0.01691 
Word: scepter, TF-IDF: 0.01691 
Top words in document 25
Word: enemy, TF-IDF: 0.05154 
Word: prisoners, TF-IDF: 0.04483 
Word: savages, TF-IDF: 0.0375 
Word: mitigated, TF-IDF: 0.02518 
Word: confinement, TF-IDF: 0.02406 
Word: ontario, TF-IDF: 0.02381 
Word: majorgeneral, TF-IDF: 0.02084 
Word: talents, TF-IDF: 0.02061 
Word: mediation, TF-IDF: 0.02061 
Word: movements, TF-IDF: 0.02013 
Word: detachments, TF-IDF: 0.01933 
Word: gained, TF-IDF: 0.01734 
Word: successes, TF-IDF: 0.01734 
Word: confined, TF-IDF: 0.01734 
Word: militia, TF-IDF: 0.01718 
Word: mistaking, TF-IDF: 0.01695 
Word: effectuating, TF-IDF: 0.01695 
Word: unadvisedly, TF-IDF: 0.01695 
Word: kindling, TF-IDF: 0.01695 
Word: sacketts, TF-IDF: 0.01695 
Top words in document 26
Word: enemy, TF-IDF: 0.05552 
Word: metropolis, TF-IDF: 0.02959 
Word: captain, TF-IDF: 0.02786 
Word: majorgeneral, TF-IDF: 0.02591 
Word: lake, TF-IDF: 0.02562 
Word: companions, TF-IDF: 0.02503 
Word: commanded, TF-IDF: 0.02425 
Word: regulars, TF-IDF: 0.02329 
Word: comrades, TF-IDF: 0.02329 
Word: prizes, TF-IDF: 0.02203 
Word: warfare, TF-IDF: 0.02156 
Word: militia, TF-IDF: 0.02135 
Word: mackinaw, TF-IDF: 0.02107 
Word: protracts, TF-IDF: 0.02107 
Word: cherishes, TF-IDF: 0.02107 
Word: discomfiture, TF-IDF: 0.02107 
Word: likeness, TF-IDF: 0.02107 
Word: retreats, TF-IDF: 0.02107 
Word: blakely, TF-IDF: 0.02107 
Word: aggrandizing, TF-IDF: 0.02107 
Top words in document 27
Word: subscribed, TF-IDF: 0.02173 
Word: shewn, TF-IDF: 0.0209 
Word: sensibility, TF-IDF: 0.0209 
Word: algiers, TF-IDF: 0.02019 
Word: devolves, TF-IDF: 0.01879 
Word: precautionary, TF-IDF: 0.01777 
Word: meritorious, TF-IDF: 0.01777 
Word: floating, TF-IDF: 0.01777 
Word: commodore, TF-IDF: 0.01777 
Word: notes, TF-IDF: 0.01722 
Word: nursery, TF-IDF: 0.017 
Word: preceptors, TF-IDF: 0.017 
Word: augmentations, TF-IDF: 0.017 
Word: algerine, TF-IDF: 0.017 
